word,gender,religion,race,age,economic
why,-0.0367,-0.0429,0.0257,-0.0182,0.0028
house,0.0275,0.0603,0.0507,0.024,-0.015
issues,-0.0175,-0.047,0.0061,0.022,0.05
costs,0.0384,0.0232,0.0344,0.0288,0.0534
fire,-0.0613,0.0091,-0.002,-0.0061,0.0228
victory,-0.0646,-0.0683,0.0083,-0.0179,-0.0231
player,-0.1113,-0.0355,0.0354,-0.1038,-0.0351
began,-0.0261,-0.0465,0.014,0.0193,0.0381
sure,-0.0428,-0.0016,0.0224,-0.0487,-0.0599
story,0.0206,-0.055,-0.0375,-0.019,0.0073
staff,-0.0164,0.0023,0.0117,0.0315,-0.0091
order,-0.0244,0.073,0.0154,-0.0123,0.0437
war,-0.0003,0.0338,-0.0136,0.0405,0.0794
large,0.0088,0.0251,0.0344,0.0601,-0.1257
interest,-0.0162,-0.0265,0.0006,0.0064,-0.0113
stock,0.0065,0.0451,0.0054,0.0163,0.0911
food,0.072,-0.0512,-0.0318,-0.0068,0.1654
research,0.0471,0.0039,0.0026,0.0218,0.0227
key,-0.0324,-0.0334,0.0254,-0.0508,-0.1072
morning,-0.015,0.0023,0.0486,0.0207,-0.0051
conference,-0.0194,0.0069,0.0348,0.0187,-0.0825
senior,-0.0426,-0.0146,0.0806,-0.1289,-0.0701
global,0.0229,0.0048,0.024,0.0015,-0.0143
death,-0.0302,0.0155,-0.0338,-0.0047,0.1174
person,0.013,0.0712,0.0257,0.0359,0.0575
thought,-0.0266,0.0005,0.0118,-0.0096,0.0172
gave,-0.062,0.0053,0.0163,-0.047,-0.0054
feel,0.016,-0.0409,-0.0071,-0.0393,-0.0276
energy,-0.0206,-0.0384,0.004,-0.0034,0.0245
history,-0.0618,-0.0691,-0.0365,0.0761,-0.0684
